
🦚刘公子港湾,#genre#
角笼摔跤,http://5cf4a2c2512a2.streamlock.net:1935/dgrau/dgrau/playlist.m3u8
搏击频道,https://d2p372oxiwmcn1.cloudfront.net/hls/main.m3u8
欧洲竞技,https://edgesports-sportstribal.amagi.tv/playlist.m3u8
欧洲拳击,https://d12a2vxqkkh1bo.cloudfront.net/hls/main.m3u8
凤凰中文,http://113.117.74.23:8081/hls/37/index.m3u8
凤凰资讯,http://113.117.74.23:8081/hls/36/index.m3u8
凤凰香港,http://113.117.74.23:8081/hls/38/index.m3u8
TVB星河,http://113.117.74.23:8081/hls/135/index.m3u8
凤凰中文,http://113.117.74.13:8081/hls/37/index.m3u8
凤凰资讯,http://113.117.74.29:8081/hls/36/index.m3u8
凤凰香港,http://113.117.74.13:8081/hls/38/index.m3u8
TVB 星河,http://113.117.74.17:8081/hls/135/index.m3u8
经典电影,http://113.117.74.17:8081/hls/61/index.m3u8
莲花卫视,http://anren.live/HK/BiIOU11uLA.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
星空卫视,http://113.117.74.23:8081/hls/87/index.m3u8
东森财经新闻,https://fsv4.yj011.net/sat/tv571.flv
民视,https://fsv4.yj011.net/sat/tv051.flv
三立台灣台,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_0/chunklist.m3u8*~hmac=cfd432e7da8eece68fe4a4da3a3bc08ab1bbc50b147a84c95ae3d4a569e932b1
三立都會台,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_0/chunklist.m3u8*~hmac=1a3986bd8fb660eacbcc9954c67fb674fa810779ddc2fab5fa77188868ca3686
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
纬来育乐,https://fsv4.yj011.net/sat/tv701.flv
纬来体育,https://fsv4.yj011.net/sat/tv721.flv
纬来日本,https://fsv4.yj011.net/sat/tv771.flv
博斯网球1,https://fsv4.yj011.net/sat/md031.flv
博斯网球2,https://fsv4.yj011.net/sat/md041.flv
博斯运动,https://fsv4.yj011.net/sat/md051.flv
TVBS新闻,https://fsv4.yj011.net/sat/tv551.flv
TVBS欢乐,https://fsv4.yj011.net/sat/tv421.flv
MoMo综合,https://fsv4.yj011.net/sat/tv761.flv
ELEVEN体育1台,https://fsv4.yj011.net/sat/tv731.flv
ELEVEN体育2台,https://fsv4.yj011.net/sat/tv741.flv
台视,https://fsv4.yj011.net/sat/tv071.flv
中视,https://fsv4.yj011.net/sat/tv091.flv

凤凰中文,http://qspyx.7766.org:9999/tsfile/live/1106_1.m3u8
凤凰中文,http://xcm13.f3322.net:4000/udp/239.93.0.162:2192
凤凰中文,http://xcm13.f3322.net:4000/udp/239.93.1.9:2192
凤凰资讯,http://qspyx.7766.org:9999/tsfile/live/1105_1.m3u8
凤凰资讯,http://xcm13.f3322.net:4000/udp/239.93.0.118:2191
凤凰资讯,http://xcm13.f3322.net:4000/udp/239.93.1.4:2191
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8

凤凰中文,http://162.19.247.76:22222/live/fenghuangweishi/index.m3u8
凤凰中文,http://113.117.74.32:8081/hls/37/index.m3u8
凤凰资讯,http://162.19.247.76:22222/live/fenghuangzhixun/index.m3u8
凤凰资讯,http://113.117.74.32:8081/hls/36/index.m3u8
凤凰香港,http://162.19.247.76:22222/live/fenghuangxianggang/index.m3u8

翡翠,http://113.117.74.32:8081/hls/67/index.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港国际财经,https://live.astradamy.com/hk76/index.m3u8?c
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
中天新闻,http://43.224.33.165:259/live.m3u8?c=1
中天新闻,http://27.102.128.25:8080/live/ztxw.m3u8
中天新闻,http://lzoq.hk3.20212021.cf/daili/yg.php?id=cti
中天新闻2,http://43.224.33.165:259/live.m3u8?c=2
中天新闻2,http://lzoq.hk3.20212021.cf/daili/yg.php?id=cti2

tvbs,http://27.102.128.25:8080/live/tvbs.m3u8

CGTN,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
RHTK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8

澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w325767490.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8

面包,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8 

无线新闻,http://172.96.250.37:83/hk.php?id=0 
无线新闻,http://172.96.250.37:83/hk.php?id=1
无线新闻,http://162.19.247.76:22222/live/tvbnews/index.m3u8
无线财经,http://172.96.250.37:83/hk.php?id=2
无线财经,http://172.96.250.37:83/hk.php?id=3

番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8

华语电视2,http://38.64.72.148/hls/modn/list/4002/chunklist0.m3u8
华语电视3,http://38.64.72.148/hls/modn/list/4003/chunklist0.m3u8
TVBS,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
TVBS新闻,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
长城精品,http://38.64.72.148/hls/modn/list/4008/chunklist0.m3u8
大湾区卫视,http://38.64.72.148/hls/modn/list/4011/chunklist0.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
ETRV中国,http://38.64.72.148/hls/modn/list/2003/chunklist0.m3u8
